R1-PA1:VH,R1-PM1:V,R1-PA2:VH,R1-PM2:V,R1-PA3:VH,R1-PM3:V,R1-PA4:IH,R1-PM4:I,R1-PA5:IH,R1-PM5:I,R1-PA6:IH,R1-PM6:I,R1-PA7:VH,R1-PM7:V,R1-PA8:VH,R1-PM8:V,R1-PA9:VH,R1-PM9:V,R1-PA10:IH,R1-PM10:I,R1-PA11:IH,R1-PM11:I,R1-PA12:IH,R1-PM12:I,R1:F,R1:DF,R1-PA:Z,R1-PA:ZH,R1:S,R2-PA1:VH,R2-PM1:V,R2-PA2:VH,R2-PM2:V,R2-PA3:VH,R2-PM3:V,R2-PA4:IH,R2-PM4:I,R2-PA5:IH,R2-PM5:I,R2-PA6:IH,R2-PM6:I,R2-PA7:VH,R2-PM7:V,R2-PA8:VH,R2-PM8:V,R2-PA9:VH,R2-PM9:V,R2-PA10:IH,R2-PM10:I,R2-PA11:IH,R2-PM11:I,R2-PA12:IH,R2-PM12:I,R2:F,R2:DF,R2-PA:Z,R2-PA:ZH,R2:S,R3-PA1:VH,R3-PM1:V,R3-PA2:VH,R3-PM2:V,R3-PA3:VH,R3-PM3:V,R3-PA4:IH,R3-PM4:I,R3-PA5:IH,R3-PM5:I,R3-PA6:IH,R3-PM6:I,R3-PA7:VH,R3-PM7:V,R3-PA8:VH,R3-PM8:V,R3-PA9:VH,R3-PM9:V,R3-PA10:IH,R3-PM10:I,R3-PA11:IH,R3-PM11:I,R3-PA12:IH,R3-PM12:I,R3:F,R3:DF,R3-PA:Z,R3-PA:ZH,R3:S,R4-PA1:VH,R4-PM1:V,R4-PA2:VH,R4-PM2:V,R4-PA3:VH,R4-PM3:V,R4-PA4:IH,R4-PM4:I,R4-PA5:IH,R4-PM5:I,R4-PA6:IH,R4-PM6:I,R4-PA7:VH,R4-PM7:V,R4-PA8:VH,R4-PM8:V,R4-PA9:VH,R4-PM9:V,R4-PA10:IH,R4-PM10:I,R4-PA11:IH,R4-PM11:I,R4-PA12:IH,R4-PM12:I,R4:F,R4:DF,R4-PA:Z,R4-PA:ZH,R4:S,control_panel_log1,control_panel_log2,control_panel_log3,control_panel_log4,relay1_log,relay2_log,relay3_log,relay4_log,snort_log1,snort_log2,snort_log3,snort_log4
-145.519821,132111.0596,94.503659,132085.9864,-25.496622,132186.2794,-144.522874,299.93418,94.692735,302.86394,-25.061174,302.86394,-145.508362,132136.1329,0,0,0,0,-144.975511,301.94839,0,0,0,0,59.999,0,12.62154705,-0.031712,0,-150.081482,131312.125,89.991765,131159.1406,-30.061343,131392.6875,23.799133,304.893494,-96.594543,306.610107,143.143621,307.2052,-150.054024,131287.1094,0,0,0,0,23.442078,306.238159,0,0,0,0,60,0,12.22684936,-3.045071,0,-150.074835,130857.3961,89.977292,130832.3229,-30.022988,130857.3961,23.777749,302.68083,-96.617873,304.32882,143.004536,304.87815,-150.040458,130857.3961,0,0,0,0,23.382408,303.9626,0,0,0,0,60,0,12.24853805,-3.044766,0,-145.451066,132186.2794,94.560955,131534.3744,-25.433597,132236.426,-144.494226,298.65241,94.904729,300.48351,-25.152847,300.3004,-145.439607,131985.6933,0,0,0,0,-144.918215,299.93418,0,0,0,0,60,0,12.59246796,-0.027371,0,0,0,0,0,0,0,0,0,0,0,0,0
-145.565657,132111.0596,94.457822,132085.9864,-25.536729,132186.2794,-144.71195,299.75107,94.452093,303.59638,-25.141388,303.41327,-145.548469,132136.1329,0,0,0,0,-145.135939,302.31461,0,0,0,0,60,0,12.69149888,-0.029958,0,-150.125427,131312.7656,89.94782,131164.3281,-30.105285,131388.8125,23.722229,305.116638,-96.671451,306.627258,143.083201,307.434082,-150.09797,131290.2344,0,0,0,0,23.370667,306.39267,0,0,0,0,60,0,12.21539421,-3.044868,0,-150.114942,130857.3961,89.919996,130832.3229,-30.063096,130882.4694,23.697534,302.86394,-96.743924,304.69504,142.964429,305.24437,-150.086294,130857.3961,0,0,0,0,23.302194,304.32882,0,0,0,0,60,0,12.26127107,-3.044698,0,-145.496903,132186.2794,94.520847,131534.3744,-25.479433,132236.426,-144.706221,299.20174,94.784408,301.03284,-25.192954,300.48351,-145.485443,131985.6933,0,0,0,0,-145.038536,300.11729,0,0,0,0,60,0,12.58898007,-0.021709,0,0,0,0,0,0,0,0,0,0,0,0,0
-145.66879,132111.0596,94.360419,132085.9864,-25.639861,132186.2794,-145.101562,300.48351,94.303124,303.9626,-25.353382,303.41327,-145.651601,132136.1329,0,0,0,0,-145.382311,302.49772,0,0,0,0,60,0,12.64787772,-0.019861,0,-150.229806,131309.7813,89.837956,131172.6094,-30.209657,131398.6094,23.233338,306.221008,-97.12738,307.794556,142.836003,307.65152,-150.202335,131293.1719,0,0,0,0,22.97516,307.216644,0,0,0,0,60,0,12.20939629,-3.034256,0,-150.218075,130857.3961,89.828323,130832.3229,-30.166228,130882.4694,23.204791,304.69504,-97.110617,305.24437,142.752435,305.06126,-150.189427,130857.3961,0,0,0,0,22.94123,305.06126,0,0,0,0,60,0,12.17591824,-3.032037,0,-145.600035,132186.2794,94.417715,131534.3744,-25.576836,132236.426,-145.055725,299.56796,94.664087,300.84973,-25.485163,300.84973,-145.588576,131985.6933,0,0,0,0,-145.296367,300.48351,0,0,0,0,60,0,12.53827779,-0.015528,0,0,0,0,0,0,0,0,0,0,0,0,0
-145.703167,132111.0596,94.326042,132085.9864,-25.679968,132186.2794,-145.221883,300.84973,94.251557,304.32882,-25.376301,303.77949,-145.685979,132136.1329,0,0,0,0,-145.451066,303.04705,0,0,0,0,60,0,12.64294659,-0.01719,0,-150.262755,131321.7813,89.804994,131166.875,-30.242616,131401.9375,23.205872,306.146606,-97.165834,307.743073,142.775583,307.777405,-150.240789,131296.2188,0,0,0,0,22.931214,307.216644,0,0,0,0,59.999001,0,12.21052224,-3.035138,0,-150.258182,130857.3961,89.788216,130832.3229,-30.206335,130882.4694,23.221979,304.14571,-97.225208,305.42748,142.729516,305.61059,-150.229534,130857.3961,0,0,0,0,22.901123,305.06126,0,0,0,0,60,0,12.23536702,-3.036595,0,-145.640142,132186.2794,94.383338,131534.3744,-25.611213,132236.426,-144.969781,299.93418,94.538036,301.03284,-25.605484,301.03284,-145.628683,131985.6933,0,0,0,0,-145.342204,300.66662,0,0,0,0,59.999,0,12.50325871,-0.020757,0,0,0,0,0,0,0,0,0,0,0,0,0
-145.909432,132111.0596,94.119777,132085.9864,-25.874774,132186.2794,-145.80057,301.58217,93.94789,305.06126,-25.846126,304.32882,-145.892243,132136.1329,0,0,0,0,-145.903703,303.59638,0,0,0,0,59.999,0,12.59527082,-0.006341,0,-150.466008,131313.9375,89.607239,131172.3594,-30.445862,131403.0625,22.804871,306.781769,-97.544862,308.263794,142.380074,308.435425,-150.438537,131294.4063,0,0,0,0,22.541199,307.823181,0,0,0,0,60,0,12.17959429,-3.03169,0,-150.458717,130857.3961,89.59341,130832.3229,-30.401141,130882.4694,22.729236,304.87815,-97.568983,305.61059,142.316987,305.61059,-150.430069,130857.3961,0,0,0,0,22.494323,305.42748,0,0,0,0,60,0,12.18176314,-3.02833,0,-145.829218,132186.2794,94.177073,131534.3744,-25.817478,132236.426,-145.691708,301.39906,94.285935,301.21595,-25.949259,301.39906,-145.823488,131985.6933,0,0,0,0,-145.783381,301.39906,0,0,0,0,59.999,0,12.41025541,-0.003865,0,0,0,0,0,0,0,0,0,0,0,0,0
-145.93808,132111.0596,94.091129,132085.9864,-25.909152,132186.2794,-145.880784,302.31461,93.919242,304.69504,-25.891963,304.32882,-145.915162,132136.1329,0,0,0,0,-145.949539,303.77949,0,0,0,0,60,0,12.5267249,-0.004703,0,-150.493479,131320.7031,89.579775,131172.8594,-30.478821,131404.7813,22.651062,307.090759,-97.605288,308.446899,142.308658,308.526978,-150.471499,131297.2344,0,0,0,0,22.447816,308.012024,0,0,0,0,60,0,12.16682467,-3.02769,0,-150.487365,130857.3961,89.564763,130832.3229,-30.435518,130882.4694,22.66621,304.87815,-97.61482,305.7937,142.27688,305.61059,-150.458717,130857.3961,0,0,0,0,22.442757,305.42748,0,0,0,0,60,0,12.18907476,-3.027086,0,-145.869325,132186.2794,94.154154,131534.3744,-25.846126,132236.426,-145.760463,300.84973,94.240098,301.39906,-26.029473,301.39906,-145.852136,131985.6933,0,0,0,0,-145.846407,301.21595,0,0,0,0,60,0,12.45261054,-0.003289,0,0,0,0,0,0,0,0,0,0,0,0,0
-170.924769,131308.715,69.10444,130631.7367,-50.884382,131258.5685,-174.998499,452.83103,65.110924,453.19725,-54.906546,452.09859,-170.907581,131057.9823,0,0,0,0,-174.929744,452.64792,0,0,0,0,60,0,8.244552954,0.074685,0,-177.8461,129077.194,62.194569,129052.1207,-57.794253,129102.2672,-2.744468,457.95811,-122.59005,457.775,117.301649,457.95811,-177.817452,129077.194,0,0,0,0,-2.675713,457.775,0,0,0,0,60,0,7.999830547,-3.054337,0,-177.869018,129027.0474,62.160191,129027.0474,-57.82863,129127.3405,-2.71582,455.9439,-122.761937,454.1128,117.083925,454.66213,-177.851829,129052.1207,0,0,0,0,-2.796034,454.84524,0,0,0,0,60,0,7.994032398,-3.058112,0,-171.032417,131687.7813,69.035338,131531.4688,-51.023255,131762.9063,-174.888619,450.073242,65.168153,450.69696,-54.884952,450.651184,-171.010438,131658.7031,0,0,0,0,-174.86664,450.468079,0,0,0,0,60,0,8.32000281,0.067689,0,0,0,0,0,0,0,0,0,0,0,0,0
-170.993524,131233.4952,69.029955,130681.8832,-50.935948,131308.715,-175.061525,452.64792,65.007791,453.19725,-54.9753,452.09859,-170.970606,131083.0556,0,0,0,0,-175.009959,452.64792,0,0,0,0,59.999,0,8.24892628,0.073967,0,-177.909125,129077.194,62.137273,129052.1207,-57.863008,129102.2672,-2.784575,457.95811,-122.693182,457.775,117.227165,457.95811,-177.874748,129077.194,0,0,0,0,-2.750197,457.95811,0,0,0,0,60,0,8.000907946,-3.055607,0,-177.932043,129027.0474,62.102895,129027.0474,-57.897385,129127.3405,-2.750197,455.76079,-122.836422,454.29591,117.015171,454.84524,-177.909125,129052.1207,0,0,0,0,-2.85333,455.02835,0,0,0,0,60,0,8.001904225,-3.059436,0,-171.098329,131685.7813,68.969427,131538.1719,-51.089173,131759.4844,-174.949039,450.010315,65.118716,450.656891,-54.934388,450.69696,-171.076363,131659.0469,0,0,0,0,-174.921568,450.450897,0,0,0,0,59.999001,0,8.322173601,0.067574,0,0,0,0,0,0,0,0,0,0,0,0,0
38.468386,131108.1288,-81.520435,130456.2238,158.497315,131158.2754,40.45655,413.09616,-85.238931,442.94309,161.155839,407.96908,38.474116,130907.5427,0,0,0,0,38.68611,420.78678,97.379907,19.04344,-130.067149,18.12789,59.988,0.03,10.24971062,-0.056157,0,31.678836,128976.9009,-88.287067,128926.7543,151.724954,129001.9742,-147.622576,418.58946,86.911968,447.88706,-26.88318,413.46238,31.701755,128976.9009,0,0,0,0,-149.295613,426.09697,-90.630464,18.67722,42.479091,17.94478,59.988,0.04,9.913217934,3.110261,0,31.655918,128951.8276,-88.315715,128901.6811,151.673388,129001.9742,-147.823111,416.57525,86.447872,446.42218,-27.112363,413.64549,31.673107,128951.8276,0,0,0,0,-149.59928,424.99831,-91.36958,18.49411,39.161665,18.67722,59.986,0.04,10.0082104,3.104624,0,38.361512,131535.625,-81.587224,131389.9844,158.370667,131615.6563,40.229189,412.971497,-85.278627,441.507324,160.935977,409.269348,38.377993,131515.3594,0,0,0,0,38.537293,420.753479,96.742861,17.921448,-131.629944,17.658234,59.987999,0.03,10.24528169,-0.056438,0,0,0,0,0,0,0,0,0,0,0,0,0
37.47144,130506.3704,-82.505923,129879.5386,157.494639,130556.5169,38.766324,418.95568,-85.680109,442.39376,159.534369,413.64549,37.488629,130305.7842,0,0,0,0,37.47144,424.63209,94.446363,15.38124,-128.772265,14.6488,59.995,0.01,9.795777308,-0.033836,0,30.613135,128350.0691,-89.352768,128324.9959,150.670711,128375.1424,-149.158103,424.08276,86.6083,447.88706,-28.487462,419.3219,30.641783,128350.0691,0,0,0,0,-150.41861,430.12539,-91.667518,14.83191,43.653654,14.28258,59.993,0.02,9.483060793,3.127894,0,30.601676,128324.9959,-89.381416,128274.8493,150.624875,128375.1424,-149.261235,421.153,85.978047,446.7884,-28.590594,418.40635,30.613135,128324.9959,0,0,0,0,-150.699359,428.29429,-92.435281,15.74746,39.430955,15.93057,59.993,0.02,9.650683135,3.119592,0,37.372743,130942.1484,-82.58698,130787.1563,157.381902,131027.2109,38.696594,417.434692,-85.800481,441.610352,159.408884,413.58374,37.389224,130919.8203,0,0,0,0,37.367251,423.860535,95.303651,15.106201,-130.454414,14.900208,59.994999,0.02,9.88345046,-0.037574,0,0,0,0,0,0,0,0,0,0,0,0,0
