R1-PA1:VH,R1-PM1:V,R1-PA2:VH,R1-PM2:V,R1-PA3:VH,R1-PM3:V,R1-PA4:IH,R1-PM4:I,R1-PA5:IH,R1-PM5:I,R1-PA6:IH,R1-PM6:I,R1-PA7:VH,R1-PM7:V,R1-PA8:VH,R1-PM8:V,R1-PA9:VH,R1-PM9:V,R1-PA10:IH,R1-PM10:I,R1-PA11:IH,R1-PM11:I,R1-PA12:IH,R1-PM12:I,R1:F,R1:DF,R1-PA:Z,R1-PA:ZH,R1:S,R2-PA1:VH,R2-PM1:V,R2-PA2:VH,R2-PM2:V,R2-PA3:VH,R2-PM3:V,R2-PA4:IH,R2-PM4:I,R2-PA5:IH,R2-PM5:I,R2-PA6:IH,R2-PM6:I,R2-PA7:VH,R2-PM7:V,R2-PA8:VH,R2-PM8:V,R2-PA9:VH,R2-PM9:V,R2-PA10:IH,R2-PM10:I,R2-PA11:IH,R2-PM11:I,R2-PA12:IH,R2-PM12:I,R2:F,R2:DF,R2-PA:Z,R2-PA:ZH,R2:S,R3-PA1:VH,R3-PM1:V,R3-PA2:VH,R3-PM2:V,R3-PA3:VH,R3-PM3:V,R3-PA4:IH,R3-PM4:I,R3-PA5:IH,R3-PM5:I,R3-PA6:IH,R3-PM6:I,R3-PA7:VH,R3-PM7:V,R3-PA8:VH,R3-PM8:V,R3-PA9:VH,R3-PM9:V,R3-PA10:IH,R3-PM10:I,R3-PA11:IH,R3-PM11:I,R3-PA12:IH,R3-PM12:I,R3:F,R3:DF,R3-PA:Z,R3-PA:ZH,R3:S,R4-PA1:VH,R4-PM1:V,R4-PA2:VH,R4-PM2:V,R4-PA3:VH,R4-PM3:V,R4-PA4:IH,R4-PM4:I,R4-PA5:IH,R4-PM5:I,R4-PA6:IH,R4-PM6:I,R4-PA7:VH,R4-PM7:V,R4-PA8:VH,R4-PM8:V,R4-PA9:VH,R4-PM9:V,R4-PA10:IH,R4-PM10:I,R4-PA11:IH,R4-PM11:I,R4-PA12:IH,R4-PM12:I,R4:F,R4:DF,R4-PA:Z,R4-PA:ZH,R4:S,control_panel_log1,control_panel_log2,control_panel_log3,control_panel_log4,relay1_log,relay2_log,relay3_log,relay4_log,snort_log1,snort_log2,snort_log3,snort_log4,marker
-133.57938,132261.4993,106.444099,132236.426,-13.556181,132336.7191,-132.845994,274.11567,106.690471,275.39744,-12.948846,276.31299,-133.562192,132286.5725,0.0,0.0,0.0,0.0,-133.03507,275.21433,0.0,0.0,0.0,0.0,60.0,0.0,13.82199276,-0.02325,0,-137.694401,131628.4844,102.367863,131471.0938,-17.674255,131700.6719,34.186709,279.670715,-85.844427,279.979706,154.212339,280.042664,-137.66693,131604.1406,0.0,0.0,0.0,0.0,34.186709,279.89386,0.0,0.0,0.0,0.0,60.0,0.0,13.39815295,-3.000712,0,-137.687488,131158.2754,102.335992,131108.1288,-17.641371,131183.3486,34.085259,277.77787,-85.806159,277.59476,154.108458,276.4961,-137.664569,131158.2754,0.0,0.0,0.0,0.0,34.131096,277.22854,0.0,0.0,0.0,0.0,59.999,0.0,13.38921847,-2.992852,0,-133.504896,132336.7191,106.495665,131684.814,-13.487427,132386.8656,-132.891831,272.8339,107.120189,273.38323,-12.782688,273.20012,-133.499166,132136.1329,0.0,0.0,0.0,0.0,-132.851724,273.20012,0.0,0.0,0.0,0.0,59.999,0.0,13.82841986,-0.010175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-133.613758,132261.4993,106.409722,132236.426,-13.5791,132361.7923,-132.943397,274.48189,106.627446,275.58055,-12.971764,276.4961,-133.590839,132286.5725,0.0,0.0,0.0,0.0,-133.098096,275.58055,0.0,0.0,0.0,0.0,60.0,0.0,13.80681356,-0.021278,0,-137.71638,131623.3438,102.334901,131465.7969,-17.701721,131705.125,34.15375,279.710754,-85.866399,280.403137,154.151919,279.83667,-137.694401,131597.875,0.0,0.0,0.0,0.0,34.148255,279.979706,0.0,0.0,0.0,0.0,60.0,0.0,13.39881605,-2.998835,0,-137.721865,131133.2021,102.307344,131133.2021,-17.670018,131183.3486,34.119637,277.96098,-85.817619,277.22854,154.074081,277.04543,-137.687488,131158.2754,0.0,0.0,0.0,0.0,34.125366,277.41165,0.0,0.0,0.0,0.0,60.0,0.0,13.3552037,-2.997235,0,-133.527814,132336.7191,106.467018,131684.814,-13.516074,132386.8656,-132.954856,272.8339,107.085812,273.38323,-12.89728,273.01701,-133.527814,132136.1329,0.0,0.0,0.0,0.0,-132.914749,273.01701,0.0,0.0,0.0,0.0,60.0,0.0,13.81109046,-0.008689,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-137.028586,131484.2279,102.994893,131459.1546,-17.005387,131559.4477,-139.463657,395.15138,100.130104,397.16559,-19.440458,396.61626,-137.011398,131509.3012,0.0,0.0,0.0,0.0,-139.589708,396.43315,0.0,0.0,0.0,0.0,59.982,0.21,9.5408548,0.03736,0,-142.989805,130190.9297,97.06696,130043.0859,-22.95868,130273.6953,31.681826,400.520325,-88.558047,401.945129,151.679992,401.418701,-142.962348,130171.9297,0.0,0.0,0.0,0.0,31.599426,401.298523,0.0,0.0,0.0,0.0,59.984001,-0.13,9.287467491,-3.051373,0,-142.981618,129729.099,97.041862,129678.9524,-22.929771,129754.1723,31.655918,398.08114,-88.51052,398.99669,151.650469,398.08114,-142.964429,129729.099,0.0,0.0,0.0,0.0,31.598622,398.44736,0.0,0.0,0.0,0.0,59.982,-0.12,9.291325707,-3.048622,0,-136.959831,131559.4477,103.04646,130907.5427,-16.925173,131609.5942,-139.429279,393.32028,100.405124,393.86961,-19.394621,393.32028,-136.948372,131358.8615,0.0,0.0,0.0,0.0,-139.475116,393.50339,0.0,0.0,0.0,0.0,59.982,0.55,9.536455888,0.042064,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-141.892998,131057.9823,98.124752,131032.909,-21.864069,131133.2021,-144.666114,396.79937,95.042239,398.44736,-24.545512,398.63047,-141.875809,131083.0556,0.0,0.0,0.0,0.0,-144.72341,397.89803,0.0,0.0,0.0,0.0,60.0,0.0,9.46885835,0.043582,0,-147.895206,129742.5469,92.167058,129600.9219,-27.875062,129823.7969,26.496278,402.648926,-93.435977,403.135315,146.538389,403.16391,-147.867735,129723.1094,0.0,0.0,0.0,0.0,26.53473,402.980804,0.0,0.0,0.0,0.0,60.0,0.01,9.165929075,-3.043166,0,-147.897596,129277.7801,92.143073,129252.7069,-27.845749,129302.8534,26.482109,399.91224,-93.432228,399.91224,146.516767,399.72913,-147.863218,129277.7801,0.0,0.0,0.0,0.0,26.516487,399.72913,0.0,0.0,0.0,0.0,60.0,0.01,9.182078056,-3.04194,0,-141.835702,131108.1288,98.176318,130481.2971,-21.818233,131183.3486,-144.58017,394.78516,95.420391,394.96827,-24.597078,394.60205,-141.824243,130932.6159,0.0,0.0,0.0,0.0,-144.5859,394.78516,0.0,0.0,0.0,0.0,59.999,0.01,9.436968312,0.048557,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-142.070615,131258.5685,97.952865,131208.4219,-22.041686,131308.715,-144.774976,396.61626,94.962025,397.89803,-24.740318,398.08114,-142.053426,131258.5685,0.0,0.0,0.0,0.0,-144.843731,397.53181,0.0,0.0,0.0,0.0,60.0,0.0,9.464030736,0.042734,0,-148.054514,129938.8281,92.013249,129790.4922,-28.034363,130015.2734,26.320496,402.168274,-93.622742,402.797699,146.406553,402.832031,-148.027043,129915.3672,0.0,0.0,0.0,0.0,26.364441,402.603149,0.0,0.0,0.0,0.0,60.0,0.0,9.201176705,-3.042984,0,-148.046565,129478.3663,91.988374,129453.293,-28.000447,129478.3663,26.361788,398.99669,-93.609845,398.99669,146.304773,398.99669,-148.029376,129478.3663,0.0,0.0,0.0,0.0,26.350329,398.99669,0.0,0.0,0.0,0.0,60.0,0.0,9.21054263,-3.043843,0,-142.00759,131308.715,97.992972,130656.81,-21.978661,131358.8615,-144.683302,394.23583,95.30007,394.41894,-24.70594,393.86961,-142.00186,131108.1288,0.0,0.0,0.0,0.0,-144.700491,394.23583,0.0,0.0,0.0,0.0,60.0,0.0,9.464647708,0.047553,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-142.150829,131383.9348,97.872651,131358.8615,-22.116171,131459.1546,-144.843731,396.06693,94.944836,397.53181,-24.797613,397.71492,-142.13364,131409.0081,0.0,0.0,0.0,0.0,-144.901026,397.16559,0.0,0.0,0.0,0.0,59.999,0.0,9.48662086,0.043063,0,-148.114933,130076.875,91.94733,129921.5391,-28.094788,130150.875,26.249085,401.853577,-93.677677,402.248383,146.318662,402.317047,-148.087462,130050.6797,0.0,0.0,0.0,0.0,26.29303,402.145386,0.0,0.0,0.0,0.0,60.0,0.0,9.209546364,-3.042555,0,-148.11532,129603.7326,91.919619,129578.6594,-28.063473,129628.8059,26.258656,398.81358,-93.609845,398.81358,146.218829,398.63047,-148.080942,129603.7326,0.0,0.0,0.0,0.0,26.287304,398.81358,0.0,0.0,0.0,0.0,60.0,0.0,9.215199541,-3.041532,0,-142.082074,131434.0813,97.918487,130807.2496,-22.064605,131484.2279,-144.769246,393.6865,95.254233,394.05272,-24.786154,393.6865,-142.076345,131233.4952,0.0,0.0,0.0,0.0,-144.769246,393.86961,0.0,0.0,0.0,0.0,60.0,0.0,9.488374409,0.0477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-142.316987,131559.4477,97.700763,131509.3012,-22.299517,131634.6675,-144.98697,395.33449,94.807326,397.16559,-24.923664,396.98248,-142.305528,131559.4477,0.0,0.0,0.0,0.0,-145.032807,396.43315,0.0,0.0,0.0,0.0,60.0,0.0,9.525163008,0.043355,0,-148.274241,130250.3828,91.78803,130111.4531,-28.25409,130338.7734,26.10077,401.487366,-93.831486,401.384338,146.120914,401.733398,-148.252261,130234.4141,0.0,0.0,0.0,0.0,26.128236,401.533142,0.0,0.0,0.0,0.0,60.0,0.01,9.21474317,-3.043249,0,-148.270018,129804.3188,91.76492,129754.1723,-28.223901,129854.4653,26.086768,398.44736,-93.764543,398.44736,146.07559,397.71492,-148.24137,129804.3188,0.0,0.0,0.0,0.0,26.126875,398.26425,0.0,0.0,0.0,0.0,60.0,0.0,9.238010456,-3.039686,0,-142.259691,131609.5942,97.758059,130982.7625,-22.236492,131659.7408,-144.912486,393.32028,95.082346,393.6865,-24.900746,392.77095,-142.248232,131409.0081,0.0,0.0,0.0,0.0,-144.912486,393.32028,0.0,0.0,0.0,0.0,60.0,0.0,9.514642313,0.048114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-142.362823,131559.4477,97.666386,131534.3744,-22.333895,131634.6675,-145.027077,395.33449,94.76149,397.16559,-24.935123,396.79937,-142.339905,131584.521,0.0,0.0,0.0,0.0,-145.067184,396.43315,0.0,0.0,0.0,0.0,60.0,0.0,9.529295914,0.043701,0,-148.30719,130270.8516,91.755067,130130.8438,-28.287049,130341.6641,26.095277,401.292786,-93.85895,401.344299,146.076969,401.699066,-148.279732,130249.1563,0.0,0.0,0.0,0.0,26.10077,401.441589,0.0,0.0,0.0,0.0,60.0,0.0,9.220362552,-3.044243,0,-148.304396,129804.3188,91.730543,129779.2455,-28.252549,129829.3921,26.081039,398.26425,-93.827569,398.44736,146.029753,397.71492,-148.275748,129804.3188,0.0,0.0,0.0,0.0,26.092498,398.26425,0.0,0.0,0.0,0.0,60.0,0.0,9.245839141,-3.041136,0,-142.288339,131609.5942,97.712222,130982.7625,-22.26514,131684.814,-144.946863,393.50339,95.02505,393.50339,-24.935123,392.95406,-142.282609,131434.0813,0.0,0.0,0.0,0.0,-144.952593,393.32028,0.0,0.0,0.0,0.0,60.0,0.0,9.506439668,0.047364,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-142.471685,131584.521,97.551794,131559.4477,-22.442757,131659.7408,-145.170317,395.5176,94.664087,396.98248,-25.055444,396.79937,-142.454497,131584.521,0.0,0.0,0.0,0.0,-145.187505,396.43315,0.0,0.0,0.0,0.0,60.0,0.0,9.518470555,0.044792,0,-148.422552,130292.0547,91.634221,130135.9844,-28.407899,130370.7031,25.968934,401.023865,-93.963322,401.412964,146.005553,401.641846,-148.395081,130268.6484,0.0,0.0,0.0,0.0,26.001893,401.355743,0.0,0.0,0.0,0.0,60.0,0.0,9.240181879,-3.043568,0,-148.424717,129829.3921,91.615951,129804.3188,-28.36714,129854.4653,25.960718,398.26425,-93.936431,398.08114,145.93808,398.08114,-148.390339,129829.3921,0.0,0.0,0.0,0.0,25.983636,398.26425,0.0,0.0,0.0,0.0,59.999,0.0,9.246404126,-3.042302,0,-142.40293,131634.6675,97.60336,131007.8358,-22.385461,131684.814,-145.044266,393.32028,94.950566,393.50339,-25.049715,392.95406,-142.397201,131434.0813,0.0,0.0,0.0,0.0,-145.044266,393.32028,0.0,0.0,0.0,0.0,60.0,0.0,9.511643539,0.04715,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-142.506063,131584.521,97.523146,131559.4477,-22.477134,131659.7408,-145.193235,395.33449,94.652628,396.98248,-25.095551,396.79937,-142.483145,131584.521,0.0,0.0,0.0,0.0,-145.216153,396.43315,0.0,0.0,0.0,0.0,60.0,0.0,9.523012389,0.044538,0,-148.455514,130293.4766,91.60675,130147.1484,-28.440858,130364.2422,25.941468,401.000977,-94.001769,401.252747,145.956116,401.584625,-148.428043,130266.7891,0.0,0.0,0.0,0.0,25.963441,401.281372,0.0,0.0,0.0,0.0,60.0,0.0,9.236350549,-3.044002,0,-148.447635,129829.3921,91.593033,129804.3188,-28.395788,129829.3921,25.937799,398.08114,-93.959349,398.44736,145.903703,398.08114,-148.418987,129829.3921,0.0,0.0,0.0,0.0,25.960718,398.26425,0.0,0.0,0.0,0.0,60.0,0.0,9.258569771,-3.041906,0,-142.437308,131634.6675,97.568983,131007.8358,-22.414109,131684.814,-145.067184,393.50339,94.910459,393.32028,-25.084092,392.95406,-142.431578,131434.0813,0.0,0.0,0.0,0.0,-145.084373,393.32028,0.0,0.0,0.0,0.0,60.0,0.0,9.500312304,0.046554,0,0,0,0,0,0,0,0,0,0,0,0,0,0
