R1-PA1:VH,R1-PM1:V,R1-PA2:VH,R1-PM2:V,R1-PA3:VH,R1-PM3:V,R1-PA4:IH,R1-PM4:I,R1-PA5:IH,R1-PM5:I,R1-PA6:IH,R1-PM6:I,R1-PA7:VH,R1-PM7:V,R1-PA8:VH,R1-PM8:V,R1-PA9:VH,R1-PM9:V,R1-PA10:IH,R1-PM10:I,R1-PA11:IH,R1-PM11:I,R1-PA12:IH,R1-PM12:I,R1:F,R1:DF,R1-PA:Z,R1-PA:ZH,R1:S,R2-PA1:VH,R2-PM1:V,R2-PA2:VH,R2-PM2:V,R2-PA3:VH,R2-PM3:V,R2-PA4:IH,R2-PM4:I,R2-PA5:IH,R2-PM5:I,R2-PA6:IH,R2-PM6:I,R2-PA7:VH,R2-PM7:V,R2-PA8:VH,R2-PM8:V,R2-PA9:VH,R2-PM9:V,R2-PA10:IH,R2-PM10:I,R2-PA11:IH,R2-PM11:I,R2-PA12:IH,R2-PM12:I,R2:F,R2:DF,R2-PA:Z,R2-PA:ZH,R2:S,R3-PA1:VH,R3-PM1:V,R3-PA2:VH,R3-PM2:V,R3-PA3:VH,R3-PM3:V,R3-PA4:IH,R3-PM4:I,R3-PA5:IH,R3-PM5:I,R3-PA6:IH,R3-PM6:I,R3-PA7:VH,R3-PM7:V,R3-PA8:VH,R3-PM8:V,R3-PA9:VH,R3-PM9:V,R3-PA10:IH,R3-PM10:I,R3-PA11:IH,R3-PM11:I,R3-PA12:IH,R3-PM12:I,R3:F,R3:DF,R3-PA:Z,R3-PA:ZH,R3:S,R4-PA1:VH,R4-PM1:V,R4-PA2:VH,R4-PM2:V,R4-PA3:VH,R4-PM3:V,R4-PA4:IH,R4-PM4:I,R4-PA5:IH,R4-PM5:I,R4-PA6:IH,R4-PM6:I,R4-PA7:VH,R4-PM7:V,R4-PA8:VH,R4-PM8:V,R4-PA9:VH,R4-PM9:V,R4-PA10:IH,R4-PM10:I,R4-PA11:IH,R4-PM11:I,R4-PA12:IH,R4-PM12:I,R4:F,R4:DF,R4-PA:Z,R4-PA:ZH,R4:S,control_panel_log1,control_panel_log2,control_panel_log3,control_panel_log4,relay1_log,relay2_log,relay3_log,relay4_log,snort_log1,snort_log2,snort_log3,snort_log4,marker
-119.009064,132487.1587,121.002957,132462.0854,1.002676,132562.3785,-117.719909,262.21352,121.77645,262.57974,2.062648,263.31218,-118.997605,132512.232,0.0,0.0,0.0,0.0,-117.960551,262.57974,0.0,0.0,0.0,0.0,60.0,0.0,14.4104385,-0.032288,0,-122.928775,131921.1875,117.122499,131771.9688,-2.914124,132003.1094,48.595276,266.778931,-71.468811,267.528534,168.648381,266.698853,-122.906809,131898.75,0.0,0.0,0.0,0.0,48.595276,267.007813,0.0,0.0,0.0,0.0,60.0,0.0,14.10032172,-2.992259,0,-122.928095,131459.1546,117.101114,131409.0081,-2.887707,131459.1546,48.644117,264.77706,-71.459296,264.96017,168.546995,264.59395,-122.905177,131459.1546,0.0,0.0,0.0,0.0,48.581091,264.77706,0.0,0.0,0.0,0.0,60.0,0.0,14.10774715,-2.995013,0,-118.934579,132562.3785,121.065982,131910.4735,1.065701,132612.525,-117.782934,260.19931,122.18325,261.11486,2.217347,260.19931,-118.92885,132361.7923,0.0,0.0,0.0,0.0,-117.794393,260.56553,0.0,0.0,0.0,0.0,60.001,0.0,14.51818951,-0.018342,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-119.072089,132386.8656,120.945661,132361.7923,0.94538,132462.0854,-117.782934,262.21352,121.759261,262.94596,1.930868,263.49529,-119.0549,132411.9389,0.0,0.0,0.0,0.0,-118.029306,262.94596,0.0,0.0,0.0,0.0,60.0,0.0,14.39266129,-0.031726,0,-122.9947,131801.9375,117.056588,131657.4219,-2.980042,131891.3125,48.578798,266.973511,-71.53473,267.57431,168.593453,267.305359,-122.967229,131783.7656,0.0,0.0,0.0,0.0,48.545839,267.282471,0.0,0.0,0.0,0.0,60.0,0.0,14.07482061,-2.995596,0,-122.99685,131333.7883,117.02663,131308.715,-2.950733,131358.8615,48.500877,265.14328,-71.585347,265.14328,168.47824,264.96017,-122.973932,131333.7883,0.0,0.0,0.0,0.0,48.4665,265.14328,0.0,0.0,0.0,0.0,60.0,0.0,14.08207107,-2.993689,0,-119.003334,132437.0121,121.002957,131810.1804,1.014135,132512.232,-117.886066,260.56553,122.011363,260.93175,2.114214,260.38242,-118.991875,132261.4993,0.0,0.0,0.0,0.0,-117.920444,260.74864,0.0,0.0,0.0,0.0,60.0,0.0,14.47167965,-0.019239,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-119.123655,132361.7923,120.894095,132336.7191,0.893814,132437.0121,-117.874607,262.21352,121.593103,262.76285,1.90222,263.6784,-119.112196,132386.8656,0.0,0.0,0.0,0.0,-118.120979,262.94596,0.0,0.0,0.0,0.0,59.999,0.0,14.41044133,-0.032812,0,-123.05512,131776.2344,117.007151,131628.5781,-3.040466,131849.4844,48.468935,266.967773,-71.589665,267.534241,168.538524,267.402649,-123.03314,131753.6563,0.0,0.0,0.0,0.0,48.474426,267.299652,0.0,0.0,0.0,0.0,59.999001,0.0,14.07610686,-2.994316,0,-123.059875,131308.715,116.969334,131283.6417,-2.996569,131333.7883,48.432122,265.32639,-71.573888,265.5095,168.375107,264.77706,-123.025498,131308.715,0.0,0.0,0.0,0.0,48.414934,265.14328,0.0,0.0,0.0,0.0,60.0,0.0,14.05302868,-2.991059,0,-119.0549,132411.9389,120.95712,131785.1071,0.95111,132487.1587,-117.954821,260.74864,121.91396,261.11486,2.062648,261.11486,-119.043441,132236.426,0.0,0.0,0.0,0.0,-117.989199,260.93175,0.0,0.0,0.0,0.0,60.0,0.0,14.47283546,-0.021146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-119.243976,132336.7191,120.779503,132311.6458,0.779223,132411.9389,-118.006388,262.39663,121.455593,262.76285,1.776169,263.6784,-119.226788,132336.7191,0.0,0.0,0.0,0.0,-118.252759,262.94596,0.0,0.0,0.0,0.0,59.999,0.0,14.39097753,-0.032446,0,-123.170468,131740.9219,116.891789,131594.9844,-3.155823,131816.0469,48.359071,267.036438,-71.69403,267.471314,168.423162,267.488464,-123.143011,131715.1094,0.0,0.0,0.0,0.0,48.364563,267.333984,0.0,0.0,0.0,0.0,60.0,0.0,14.06200242,-2.994724,0,-123.157278,131283.6417,116.854742,131233.4952,-3.134079,131308.715,48.243046,265.32639,-71.711398,265.5095,168.260516,264.77706,-123.145819,131258.5685,0.0,0.0,0.0,0.0,48.265965,265.14328,0.0,0.0,0.0,0.0,60.0,0.0,14.05905202,-2.988594,0,-119.163762,132386.8656,120.842529,131760.0339,0.853707,132437.0121,-118.10379,260.93175,121.845205,261.11486,1.913679,260.56553,-119.152303,132186.2794,0.0,0.0,0.0,0.0,-118.10952,260.93175,0.0,0.0,0.0,0.0,60.0,0.0,14.43288581,-0.017355,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-119.243976,132336.7191,120.779503,132311.6458,0.779223,132411.9389,-118.029306,262.21352,121.541537,262.94596,1.713144,263.6784,-119.226788,132336.7191,0.0,0.0,0.0,0.0,-118.252759,262.94596,0.0,0.0,0.0,0.0,60.0,0.0,14.391191,-0.030622,0,-123.170468,131744.3906,116.880806,131588.4688,-3.161316,131820.9844,48.381044,267.11084,-71.726993,267.631531,168.384708,267.116547,-123.148502,131716.1406,0.0,0.0,0.0,0.0,48.348085,267.288208,0.0,0.0,0.0,0.0,60.0,0.0,14.05201656,-2.994256,0,-123.163008,131258.5685,116.854742,131258.5685,-3.12835,131283.6417,48.346179,265.32639,-71.728586,265.5095,168.283434,264.77706,-123.145819,131258.5685,0.0,0.0,0.0,0.0,48.306072,265.14328,0.0,0.0,0.0,0.0,59.999,0.0,14.05676622,-2.992207,0,-119.169492,132386.8656,120.831069,131734.9606,0.847978,132462.0854,-118.178275,260.74864,121.862393,261.29797,1.913679,260.56553,-119.158033,132186.2794,0.0,0.0,0.0,0.0,-118.126709,260.74864,0.0,0.0,0.0,0.0,60.0,0.0,14.46172259,-0.014571,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-119.266895,132336.7191,120.756585,132286.5725,0.756304,132386.8656,-118.075142,262.39663,121.484241,262.94596,1.741792,263.49529,-119.249706,132336.7191,0.0,0.0,0.0,0.0,-118.281407,262.94596,0.0,0.0,0.0,0.0,59.999,0.0,14.38940682,-0.029281,0,-123.192447,131746.2031,116.86981,131584.3594,-3.177795,131821.9688,48.315126,267.32254,-71.754457,267.568604,168.384708,267.528534,-123.164976,131715.75,0.0,0.0,0.0,0.0,48.315126,267.477051,0.0,0.0,0.0,0.0,60.0,0.0,14.04189546,-2.99412,0,-123.180196,131283.6417,116.837554,131233.4952,-3.145538,131283.6417,48.265965,265.69261,-71.722857,265.5095,168.283434,264.96017,-123.157278,131258.5685,0.0,0.0,0.0,0.0,48.277424,265.32639,0.0,0.0,0.0,0.0,60.0,0.0,14.02970121,-2.990036,0,-119.19241,132386.8656,120.808151,131734.9606,0.81933,132437.0121,-118.132438,260.74864,121.822286,261.29797,1.850654,260.74864,-119.180951,132186.2794,0.0,0.0,0.0,0.0,-118.149627,260.93175,0.0,0.0,0.0,0.0,60.0,0.0,14.45212852,-0.017807,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-124.194332,130556.5169,115.817689,130506.3704,-4.153944,130606.6634,-127.523217,450.26749,111.85855,451.36615,-7.666175,451.54926,-124.177143,130556.5169,0.0,0.0,0.0,0.0,-127.775318,450.99993,0.0,0.0,0.0,0.0,59.968,-0.3,8.293675563,0.048982,0,-131.053162,128894.4141,109.003604,128740.3047,-11.033021,128978.3047,44.579774,456.098572,-75.577703,457.672119,164.621889,456.401825,-131.025704,128873.5547,0.0,0.0,0.0,0.0,44.541323,456.72226,0.0,0.0,0.0,0.0,59.967999,0.0,8.070032695,-3.065629,0,-131.058366,128450.3622,108.965114,128400.2157,-11.00079,128450.3622,44.53028,453.74658,-75.590322,454.84524,164.587856,453.19725,-131.029718,128425.2889,0.0,0.0,0.0,0.0,44.507362,453.92969,0.0,0.0,0.0,0.0,59.968,0.0,8.074052882,-3.063283,0,-124.125577,130606.6634,115.886444,129979.8317,-4.108107,130656.81,-127.523217,447.88706,112.122111,449.71816,-7.59742,448.07017,-124.114118,130406.0773,0.0,0.0,0.0,0.0,-127.672186,448.6195,0.0,0.0,0.0,0.0,59.968,-0.29,8.332716843,0.056878,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-128.090445,131534.3744,111.915846,131509.3012,-8.078705,131609.5942,-131.740186,448.07017,107.979626,448.6195,-11.871686,449.71816,-128.084715,131559.4477,0.0,0.0,0.0,0.0,-131.877696,448.80261,0.0,0.0,0.0,0.0,59.982,0.01,8.362352789,0.057286,0,-134.843452,129955.0859,105.207829,129801.9531,-14.823303,130026.6797,40.366517,453.56369,-79.675598,454.256043,160.342721,454.061523,-134.815981,129931.3828,0.0,0.0,0.0,0.0,40.344544,453.969971,0.0,0.0,0.0,0.0,59.981998,0.01,8.152973155,-3.058635,0,-134.851347,129478.3663,105.177863,129453.293,-14.788041,129503.4396,40.31331,451.18304,-79.68697,450.99993,160.267755,450.99993,-134.816969,129478.3663,0.0,0.0,0.0,0.0,40.296122,450.99993,0.0,0.0,0.0,0.0,59.982,0.01,8.146278524,-3.057233,0,-128.033149,131609.5942,111.961683,130957.6892,-8.021409,131659.7408,-131.774563,445.50663,108.248916,446.05596,-11.797201,445.50663,-128.027419,131409.0081,0.0,0.0,0.0,0.0,-131.768834,445.68974,0.0,0.0,0.0,0.0,59.982,0.02,8.396904508,0.066268,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-131.425059,130230.5644,108.598421,130205.4911,-11.40759,130305.7842,-135.430034,453.01414,104.284048,453.74658,-15.550075,454.47902,-131.40787,130255.6377,0.0,0.0,0.0,0.0,-135.567544,453.74658,0.0,0.0,0.0,0.0,59.999,0.01,8.192687748,0.064094,0,-138.32062,128575.2734,101.736146,128421.6953,-18.300476,128644.4688,36.823425,459.011078,-83.141789,459.863648,156.898502,459.749207,-138.298654,128548.2891,0.0,0.0,0.0,0.0,36.861879,459.537506,0.0,0.0,0.0,0.0,59.997002,0.01,7.979178321,-3.056489,0,-138.33493,128124.4097,101.711468,128099.3364,-18.277354,128099.3364,36.772431,456.31012,-83.176283,456.12701,156.824278,456.31012,-138.306282,128099.3364,0.0,0.0,0.0,0.0,36.806809,456.31012,0.0,0.0,0.0,0.0,59.997,0.01,7.979011615,-3.055659,0,-131.373493,130280.7109,108.632798,129653.8792,-11.344564,130330.8575,-135.464412,450.81682,104.559068,451.54926,-15.509968,450.81682,-131.362034,130105.198,0.0,0.0,0.0,0.0,-135.470141,450.99993,0.0,0.0,0.0,0.0,59.997,0.01,8.213455633,0.072534,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-131.447977,130230.5644,108.569773,130205.4911,-11.424778,130305.7842,-135.447223,452.83103,104.284048,453.56347,-15.555804,454.29591,-131.430789,130255.6377,0.0,0.0,0.0,0.0,-135.573274,453.56347,0.0,0.0,0.0,0.0,59.997,0.01,8.19600336,0.064239,0,-138.342599,128568.4141,101.719671,128425.125,-18.322449,128649.1719,36.773988,459.154114,-83.130799,459.852234,156.838082,459.600464,-138.315128,128549.9063,0.0,0.0,0.0,0.0,36.823425,459.537506,0.0,0.0,0.0,0.0,59.999001,0.01,7.966869947,-3.054947,0,-138.346389,128099.3364,101.68855,128074.2632,-18.306002,128124.4097,36.715136,456.31012,-83.193472,456.31012,156.766982,456.12701,-138.323471,128099.3364,0.0,0.0,0.0,0.0,36.760972,456.31012,0.0,0.0,0.0,0.0,59.997,0.01,7.975617695,-3.053766,0,-131.390682,130280.7109,108.615609,129653.8792,-11.361753,130355.9307,-135.48733,450.99993,104.524691,451.18304,-15.498508,450.99993,-131.379222,130105.198,0.0,0.0,0.0,0.0,-135.48733,450.99993,0.0,0.0,0.0,0.0,59.997,0.01,8.208683112,0.071858,0,0,0,0,0,0,0,0,0,0,0,0,0,0
